Date,Confirmed_Cases,Hospital_Deaths,Death_Certs,Total_Deaths
31/01/2020,2,0,0,0
01/02/2020,0,0,0,0
02/02/2020,0,0,0,0
03/02/2020,0,0,0,0
04/02/2020,0,0,0,0
05/02/2020,0,0,0,0
06/02/2020,1,0,0,0
07/02/2020,0,0,0,0
08/02/2020,0,0,0,0
09/02/2020,0,0,0,0
10/02/2020,4,0,0,0
11/02/2020,0,0,0,0
12/02/2020,1,0,0,0
13/02/2020,0,0,0,0
14/02/2020,0,0,0,0
15/02/2020,0,0,0,0
16/02/2020,0,0,0,0
17/02/2020,0,0,0,0
18/02/2020,0,0,0,0
19/02/2020,0,0,0,0
20/02/2020,0,0,0,0
21/02/2020,0,0,0,0
22/02/2020,0,0,0,0
23/02/2020,4,0,0,0
24/02/2020,0,0,0,0
25/02/2020,0,0,0,0
26/02/2020,0,0,0,0
27/02/2020,3,0,0,0
28/02/2020,5,0,0,0
29/02/2020,3,0,0,0
01/03/2020,12,0,0,0
02/03/2020,4,0,0,0
03/03/2020,12,0,0,0
04/03/2020,36,0,0,0
05/03/2020,29,1,4,5
06/03/2020,48,1,0,1
07/03/2020,45,0,0,0
08/03/2020,69,1,2,3
09/03/2020,43,2,5,7
10/03/2020,61,1,1,2
11/03/2020,78,2,6,8
12/03/2020,136,2,11,13
13/03/2020,202,1,15,16
14/03/2020,342,10,18,28
15/03/2020,251,14,29,43
16/03/2020,152,20,46,66
17/03/2020,407,16,53,69
18/03/2020,676,32,67,99
19/03/2020,643,41,72,113
20/03/2020,714,33,110,143
21/03/2020,"1,035",56,125,181
22/03/2020,665,48,170,218
23/03/2020,967,54,190,244
24/03/2020,"1,427",87,238,325
25/03/2020,"1,452",156,301,457
26/03/2020,"2,129",181,374,555
27/03/2020,"2,890",260,421,681
28/03/2020,"2,556",209,455,664
29/03/2020,"2,502",180,540,720
30/03/2020,"2,665",381,624,1005
31/03/2020,"3,250",563,742,1305
01/04/2020,"4,567",569,823,1392
02/04/2020,"4,522",684,912,1596
03/04/2020,"4,672",708,942,1650
04/04/2020,"4,000",621,1041,1662
05/04/2020,"6,199",439,1077,1516
06/04/2020,"4,143",786,1034,1820
07/04/2020,3888,938,1161,2099
08/04/2020,5866,881,1314,2195
09/04/2020,4675,980,1196,2176
10/04/2020,5706,917,1177,2094
11/04/2020,5234,737,1210,1947
12/04/2020,5288,717,1233,1950
13/04/2020,4342,778,1091,1869
14/04/2020,5252,761,1097,1858
15/04/2020,4605,861,1120,1981
16/04/2020,4618,847,1162,2009
17/04/2020,5599,888,1106,1994
18/04/2020,5526,596,1021,1617
19/04/2020,5850,449,969,1418
20/04/2020,4676,823,981,1804
21/04/2020,4301,759,907,1666
22/04/2020,4451,616,911,1527
23/04/2020,4583,684,820,1504
24/04/2020,5386,813,724,1537
